SLF201,CompID,Batch_ID,CUST_PO#,DEPT#,DEPT#,LOADNUM,LOAD-Approve-Dt,CARRIER,CARRIER PICK DT,CUBE,WGT
SLF201,QUEST,11012190,4104706125,,,11012190,09/18/2020,SWIFT  ,,2,10
SLF201,QUEST,11012190,5509465069,,,11012190,09/18/2020,SWIFT  ,,3,18
SLF201,QUEST,11012190,4004974818,,,11012190,09/18/2020,SWIFT  ,,1,7
SLF201,QUEST,11012190,7154675004,,,11012190,09/18/2020,SWIFT  ,,1,7
SLF201,QUEST,11012190,1604694970,,,11012190,09/18/2020,SWIFT  ,,2,10
SLF201,QUEST,11012190,6116530789,,,11012190,09/18/2020,SWIFT  ,,3,15
SLF201,QUEST,11012190,3603999796,,,11012190,09/18/2020,SWIFT  ,,2,10
SLF201,QUEST,11012190,5063761741,,,11012190,09/18/2020,SWIFT  ,,2,10
SLF201,QUEST,11012190,1256886667,,,11012190,09/18/2020,SWIFT  ,,3,20
SLF201,QUEST,11012190,6754675024,,,11012190,09/18/2020,SWIFT  ,,1,7
SLF201,QUEST,11012190,4155199142,,,11012190,09/18/2020,SWIFT  ,,2,12
SLF201,QUEST,11012190,1906114809,,,11012190,09/18/2020,SWIFT  ,,2,12
SLF201,QUEST,11012190,7254674998,,,11012190,09/18/2020,SWIFT  ,,3,15
SLF201,QUEST,11012190,6166530789,,,11012190,09/18/2020,SWIFT  ,,2,12
SLF201,QUEST,11012190,1218770371,,,11012190,09/18/2020,SWIFT  ,,3,17
SLF201,QUEST,11012190,6316530790,,,11012190,09/18/2020,SWIFT  ,,2,10
SLF201,QUEST,11012190,3804135736,,,11012190,09/18/2020,SWIFT  ,,3,16
SLF201,QUEST,11012190,8264011711,,,11012190,09/18/2020,SWIFT  ,,2,10
SLF201,QUEST,11012190,2107003490,,,11012190,09/18/2020,SWIFT  ,,3,15
SLF201,QUEST,11012190,3359374185,,,11012190,09/18/2020,SWIFT  ,,2,10
SLF201,QUEST,11012190,2956543775,,,11012190,09/18/2020,SWIFT  ,,2,12
SLF201,QUEST,11012190,4607403102,,,11012190,09/18/2020,SWIFT  ,,2,12
SLF201,QUEST,11012190,4164091684,,,11012190,09/18/2020,SWIFT  ,,2,12
SLF201,QUEST,11012190,6366531055,,,11012190,09/18/2020,SWIFT  ,,1,7
