HDR940,JF2015,JF052-BD50571-001,WAL-MART DC 6280,33011,06280,00020,6158560009,BD50571,001,06/14/2018,06/20/2018,06/22/2018,1,J B HUNT,WAL-MART DC 6280,9590 ALLPOINTS PARKWAY,,PLAINFIELD,IN,46168
DTL940,JF2015,JF052-BD50571-001,33011,6158560009,1,NI01523PDQCD,552928528,4.0000,1.000,4,.444000,6.0000,JOHN DEERE TUB MATS
HDR940,JF2015,JF052-BD50574-001,WAL-MART DC 6280,33011,06280,00022,6858520023,BD50574,001,06/14/2018,06/20/2018,06/22/2018,3,J B HUNT,WAL-MART DC 6280,9590 ALLPOINTS PARKWAY,,PLAINFIELD,IN,46168
DTL940,JF2015,JF052-BD50574-001,33011,6858520023,1,JF25507WMCD,566449790,10000.0000,5000.000,2,9.165000,40.0000,BLACK PANTHER SILVER TRIBE T/F
DTL940,JF2015,JF052-BD50574-001,33011,6858520023,2,JF28846ECD,566720044,12.0000,6.000,2,14.706000,48.8400,DEAD POOL INVASION T/F COMFORTER
DTL940,JF2015,JF052-BD50574-001,33011,6858520023,3,JF21189ECD,567132225,20.0000,20.000,1,22.240000,120.0000,HARRY POTTER SPELLBOUND TWIN B
HDR940,JF2015,JF052-BD50577-001,WAL-MART DC 8240,33011,08240,00020,5808560010,BD50577,001,06/14/2018,06/20/2018,06/22/2018,1,J B HUNT,WAL-MART DC 8240,6055 SOUTH FULTON PARKWAY,,ATLANTA,GA,30349
DTL940,JF2015,JF052-BD50577-001,33011,5808560010,1,JF09319WMCD,553284817,12.0000,4.000,3,1.456000,12.0000,FRET COVERED JAR CERAMIC
HDR940,JF2015,JF052-BD50579-001,WAL-MART DC 8240,33011,08240,00022,6958520025,BD50579,001,06/14/2018,06/20/2018,06/22/2018,3,J B HUNT,WAL-MART DC 8240,6055 SOUTH FULTON PARKWAY,,ATLANTA,GA,30349
DTL940,JF2015,JF052-BD50579-001,33011,6958520025,1,JF25507WMCD,566449790,4.0000,2.000,2,3.666000,16.0000,BLACK PANTHER SILVER TRIBE T/F
DTL940,JF2015,JF052-BD50579-001,33011,6958520025,2,JF28846ECD,566720044,2.0000,1.000,2,2.451000,8.1400,DEAD POOL INVASION T/F COMFORTER
DTL940,JF2015,JF052-BD50579-001,33011,6958520025,3,JF21189ECD,567132225,2.0000,2.000,1,2.224000,12.0000,HARRY POTTER SPELLBOUND TWIN B
HDR940,JF2015,JF052-BD50585-001,WAL-MART DC 7006,33011,7006,00022,6713320031,BD50585,001,06/14/2018,06/20/2018,06/22/2018,1,J B HUNT,WAL-MART DC 7006,5300 WESTPORT PARKWAY,,FORT WORTH,TX,76177
DTL940,JF2015,JF052-BD50585-001,33011,6713320031,1,JF21189ECD,567132225,2.0000,2.000,1,2.224000,12.0000,HARRY POTTER SPELLBOUND TWIN B
HDR940,JF2015,JF052-BD50593-001,WAL-MART DC 7853,33011,7531,00022,6808520039,BD50593,001,06/14/2018,06/20/2018,06/22/2018,1,J B HUNT,WAL-MART DC 7853,5100 NORTH RIDGE TRAIL,,DAVENPORT,FL,33897
DTL940,JF2015,JF052-BD50593-001,33011,6808520039,1,JF25507WMCD,566449790,18.0000,9.000,2,16.497000,72.0000,BLACK PANTHER SILVER TRIBE T/F
