SLF943,CompID,cntr_id,line_num,po_num / Ref#,itm_Num,itm_color,itm_size,itm_name,itm_qty,ctn_qty,ctns,L,W,H,ctn_cube,ctn_wgt,ENTRY-DT,ETA-DT,SUPPLIER,Hdr-Note,Dtl-Note
SLF943,QUEST,TGHU5234307,1,CVS-BEAD-01_08_2019,CVS-241991-12/24,CVS,12/24,CVS-IJOY BEAD WIRELESS SPEAKER - ASSORTMENT PACKED 12/24 ,9600,24,400,,,,0.85,11.02,3/19/2019,4/2/2019,DONGSHUN TDL,,"IJ17-BEAD-B1C8, IJ17-BEAD-V2U5, IJ17-BEAD-Q3B1"
SLF943,QUEST,TGHU5234307,2,INV-MNW-01_14_2019,MN17-SLD-BK-INV,INV,6/36,INV-WALLET WITH TPU STRAP - PACKED 6/36 - COLOR BLACK,3024,36,84,,,,0.42,7,3/19/2019,4/2/2019,CHINA ETECH ,,
SLF943,QUEST,TGHU5234307,3,INV-MNW-01_14_2019,MN18-MRBL-43-INV,INV,6/36,INV-WALLET WITH TPU STRAP- PACKED 6/36 - COLOR GRAY,2052,36,57,,,,0.42,7,3/19/2019,4/2/2019,CHINA ETECH ,,
SLF943,QUEST,TGHU5234307,4,MJR-MNW-01_21_2019,MN17-SLD-BK-MJR,MEIJER,4/12,MJR-WALLET WITH TPU STRAP - PACKED 4/12 - COLOR BLACK,2400,12,200,,,,0.15,2.53,3/19/2019,4/2/2019,CHINA ETECH ,,
SLF943,QUEST,TGHU5234307,5,MJR-MNW-01_21_2019,MN18-MRBL-42-MJR,MEIJER,4/12,MJR-WALLET WITH TPU STRAP - PACKED 4/12 - COLOR ROSE GLD/PNK ON BLK MRBL,2400,12,200,,,,0.15,2.53,3/19/2019,4/2/2019,CHINA ETECH ,,
SLF943,QUEST,TGHU5234307,6,MJR-MNW-01_21_2019,MN18-MET-RGD-MJR,MEIJER,4/12,MJR-WALLET WITH TPU STRAP - PACKED 4/12 - COLOR METALLIC ROSE GLD,2400,12,200,,,,0.15,2.53,3/19/2019,4/2/2019,CHINA ETECH ,,
SLF943,QUEST,TGHU5234307,7,MJR-MNW-01_21_2019,MN18-TXT-2SLGLT-MJR,MEIJER,4/12,MJR-WALLET WITH TPU STRAP - PACKED 4/12 - COLOR SLVR GLTR GEL TOUCH,2400,12,200,,,,0.15,2.53,3/19/2019,4/2/2019,CHINA ETECH ,,
SLF943,QUEST,TGHU5234307,8,MJR-MNW-01_21_2019,MN18-TXT-HLTRSL-MJR,MEIJER,4/12,MJR-WALLET WITH TPU STRAP - PACKED 4/12 - COLOR SLVR HLGRPHC TRNSPRNT STRAP,2400,12,200,,,,0.15,2.53,3/19/2019,4/2/2019,CHINA ETECH ,,
SLF943,QUEST,TGHU5234307,9,CVS-ECLIPSE-02_14_2019,CVS-388453-12PK,CVS,12PK,CVS-IJOY ECLIPSE TWS SPEAKERS - ASSORTMENT PACKED BY 4 WHTE & 8 BLK,4140,12,345,,,,4.2,33,3/19/2019,4/2/2019,TST,,"IJSP1009-H102, IJSP1009-B1B1"
